query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file9_strand.fast5_template	MG1655	14968	76	14895	72	1	0	3	4
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file53_strand.fast5_2d_rnn	MG1655	7153	7195	49	6730	171	203	294	668
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file56_strand.fast5_template_rnn	MG1655	9351	499	8882	433	28	8	38	74
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file40_strand.fast5_complement_rnn	MG1655	12056	234	11825	210	13	8	11	32
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file47_strand.fast5_template_rnn	MG1655	15622	503	15140	434	37	11	32	80
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file5_strand.fast5_template_rnn	MG1655	133	130	5248	122	3	8	5	16
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file5_strand.fast5_2d	MG1655	5541	2990	2494	2782	94	171	114	379
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file59_strand.fast5_2d_rnn	MG1655	14786	15014	40	13852	437	457	725	1619
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file52_strand.fast5_2d_rnn	MG1655	7908	2894	5117	2551	124	116	219	459
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file53_strand.fast5_2d	MG1655	7243	7210	59	6766	165	253	279	697
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file72_strand.fast5_2d	MG1655	8077	6323	1579	5931	203	364	189	756
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file59_strand.fast5_complement	MG1655	14509	449	14065	402	15	27	32	74
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file53_strand.fast5_template_rnn	MG1655	6332	70	6264	67	1	0	2	3
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file70_strand.fast5_template_rnn	MG1655	9839	215	9642	187	10	0	18	28
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file7_strand.fast5_template_rnn	MG1655	6453	283	6175	253	19	6	11	36
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file0_strand.fast5_2d	MG1655	7628	7249	90	6768	262	508	219	989
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file52_strand.fast5_complement_rnn	MG1655	7437	627	6827	546	44	20	37	101
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file70_strand.fast5_2d	MG1655	11502	10859	382	10063	413	644	383	1440
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file70_strand.fast5_2d_rnn	MG1655	11034	11075	117	9976	509	432	590	1531
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file56_strand.fast5_complement	MG1655	10525	75	10448	73	2	2	0	4
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file8_strand.fast5_template_rnn	MG1655	6873	385	6502	332	26	13	27	66
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file72_strand.fast5_template	MG1655	8097	186	7902	176	6	13	4	23
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file72_strand.fast5_template_rnn	MG1655	219	231	7039	203	11	5	17	33
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file7_strand.fast5_2d	MG1655	6675	5663	807	5310	184	374	169	727
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file42_strand.fast5_2d	MG1655	4728	4641	52	4305	143	228	193	564
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file7_strand.fast5_2d_rnn	MG1655	6300	6313	48	5825	220	207	268	695
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file59_strand.fast5_2d	MG1655	15292	15008	63	13873	452	904	683	2039
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file5_strand.fast5_complement_rnn	MG1655	4963	488	4486	434	27	16	27	70
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file9_strand.fast5_template_rnn	MG1655	15089	824	14276	711	67	35	46	148
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file53_strand.fast5_template	MG1655	7337	333	7012	293	14	18	26	58
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file59_strand.fast5_complement_rnn	MG1655	13621	2078	11688	1742	128	63	208	399
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file48_strand.fast5_2d	MG1655	3064	2439	676	2224	81	83	134	298
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file7_strand.fast5_complement_rnn	MG1655	280	292	5920	252	21	7	19	47
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file48_strand.fast5_2d_rnn	MG1655	2925	2439	590	2181	86	68	172	326
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file56_strand.fast5_2d	MG1655	10669	9915	624	9247	336	462	332	1130
LomanLabz_PC_Ecoli_K12_MG1655_20150924_MAP006_1_5005_1_ch100_file72_strand.fast5_2d_rnn	MG1655	7568	6322	1325	5802	229	212	291	732
